                  epoch;         train/box_loss;         train/cls_loss;         train/dfl_loss;   metrics/precision(B);      metrics/recall(B);       metrics/mAP50(B);    metrics/mAP50-95(B);           val/box_loss;           val/cls_loss;           val/dfl_loss;                 lr/pg0;                 lr/pg1;                 lr/pg2
88;                0.23451;                  0.473;                0.79609;                0.98007;                0.96784;                0.99231;                 0.9758;                0.20544;                0.23965;                0.77028;5,31E-02;5,31E-02;5,31E-02
89;                0.23482;                0.47422;                0.79537;                0.98042;                0.96707;                0.99231;                0.97561;                0.20587;                0.23937;                0.77025;4,95E-01;4,95E-01;4,95E-01
90;                0.23373;                0.47353;                0.79587;                0.97986;                0.96799;                0.99233;                0.97604;                0.20477;                0.23862;                0.77017;4,60E-01;4,60E-01;4,60E-01
91;                0.23817;                0.34761;                0.78365;                0.97915;                0.96471;                0.99184;                0.97706;                 0.2031;                0.24359;                0.76941;4,24E-01;4,24E-01;4,24E-01
92;                0.23461;                0.34041;                0.78307;                0.98025;                0.96466;                0.99204;                0.97792;                0.20144;                0.24093;                0.76915;3,89E-01;3,89E-01;3,89E-01
93;                0.23292;                0.33745;                0.78326;                0.97944;                0.96702;                0.99215;                0.97784;                0.20049;                0.23876;                0.76908;3,54E-01;3,54E-01;3,54E-01
94;                0.23234;                0.33665;                0.78301;                0.97997;                0.96612;                0.99223;                0.97832;                 0.1999;                0.23811;                0.76902;3,18E-01;3,18E-01;3,18E-01
95;                 0.2316;                0.33141;                0.78165;                 0.9801;                0.96649;                0.99225;                0.97828;                0.19948;                0.23754;                0.76896;2,83E-02;2,83E-02;2,83E-02
96;                0.23262;                0.33293;                0.78226;                0.97993;                0.96715;                0.99229;                0.97831;                0.19929;                0.23641;                0.76888;2,48E-01;2,48E-01;2,48E-01
97;                0.23006;                0.33005;                0.78163;                 0.9799;                0.96779;                0.99235;                0.97868;                0.19901;                0.23596;                0.76891;2,12E-01;2,12E-01;2,12E-01
98;                0.22991;                0.33084;                0.78254;                0.97967;                0.96776;                 0.9923;                0.97858;                0.19895;                0.23606;                0.76892;1,77E-01;1,77E-01;1,77E-01
99;                0.22877;                0.32749;                0.78234;                0.97939;                0.96844;                0.99229;                0.97857;                0.19822;                0.23481;                0.76888;1,42E-01;1,42E-01;1,42E-01
100;                0.23005;                0.33271;                0.78196;                0.98051;                0.96773;                0.99239;                0.97868;                0.19811;                0.23437;                0.76879;1,06E-01;1,06E-01;1,06E-01
